0_loss,0_accu,1_loss,1_accu
0.0010865128133445978,1.0,0.058752212673425674,0.23666666448116302
4.841614099859726e-06,1.0,0.033583346754312515,0.7883333563804626
3.9511241993750446e-06,1.0,0.013114210218191147,0.9833333492279053
3.1783793019712903e-06,1.0,0.004944548476487398,1.0
2.540857167332433e-06,1.0,0.001696513732895255,1.0
1.9604560748121003e-06,1.0,0.0006709705339744687,1.0
1.6561255051783519e-06,1.0,0.0004159165546298027,1.0
1.464339334233955e-06,1.0,0.00029636401450261474,1.0
1.3186210026105982e-06,1.0,0.0002290555858053267,1.0
1.2316834272496635e-06,1.0,0.00019043526845052838,1.0
1.1625394336078898e-06,1.0,0.000163039963808842,1.0
1.1028943163182703e-06,1.0,0.0001444234512746334,1.0
1.0521126796447788e-06,1.0,0.00013214502541814,1.0
1.0136034234164981e-06,1.0,0.00011864986299769953,1.0
9.792991022550268e-07,1.0,0.00011005830310750753,1.0
9.525588779979444e-07,1.0,0.00010289010970154777,1.0
9.271514045394724e-07,1.0,9.658920316724107e-05,1.0
9.072674060917052e-07,1.0,9.131961269304156e-05,1.0
8.921990684029879e-07,1.0,8.693611016497016e-05,1.0
8.746330877329456e-07,1.0,8.378287748200819e-05,1.0
8.566218525629665e-07,1.0,8.037842781050131e-05,1.0
8.51712911753566e-07,1.0,7.783098408253863e-05,1.0
8.393248549509735e-07,1.0,7.498414197470993e-05,1.0
8.286729666906467e-07,1.0,7.246037421282381e-05,1.0
8.20397019651864e-07,1.0,7.074766472214833e-05,1.0
8.131991648951953e-07,1.0,6.895899423398077e-05,1.0
8.06295190614037e-07,1.0,6.73015383654274e-05,1.0
8.00287466518057e-07,1.0,6.59978759358637e-05,1.0
7.923113116703462e-07,1.0,6.501832831418142e-05,1.0
7.918705478004995e-07,1.0,6.334808858809993e-05,1.0
7.897160116954183e-07,1.0,6.300592940533534e-05,1.0
7.8255555990836e-07,1.0,6.146754458313808e-05,1.0
7.778639314892644e-07,1.0,6.08240079600364e-05,1.0
7.78737216933223e-07,1.0,6.0172329540364444e-05,1.0
7.737580745015293e-07,1.0,5.9555048210313544e-05,1.0
7.736628049315186e-07,1.0,5.850716115674004e-05,1.0
7.687497713959601e-07,1.0,5.788473572465591e-05,1.0
7.666222359148378e-07,1.0,5.743018482462503e-05,1.0
7.644286483809992e-07,1.0,5.7059860409935936e-05,1.0
7.640891794835625e-07,1.0,5.6556073104729876e-05,1.0
7.632964411641296e-07,1.0,5.5825599702075124e-05,1.0
7.592423685309768e-07,1.0,5.604351099464111e-05,1.0
7.598218303428439e-07,1.0,5.5215859902091324e-05,1.0
7.56974145588174e-07,1.0,5.4688316595274955e-05,1.0
7.574356573059049e-07,1.0,5.433219121186994e-05,1.0
7.552295073764981e-07,1.0,5.412088648881763e-05,1.0
7.547370728389069e-07,1.0,5.400926966103725e-05,1.0
7.521584279857052e-07,1.0,5.377874549594708e-05,1.0
7.544740583398379e-07,1.0,5.3508665587287396e-05,1.0
7.511111448366137e-07,1.0,5.344879537005909e-05,1.0
7.513863806707377e-07,1.0,5.297862662700936e-05,1.0
