0_loss,0_accu,1_loss,1_accu
0.04649893566966057,0.903333306312561,0.04643438011407852,0.8816666603088379
0.019222071394324303,0.9566666483879089,0.01986251212656498,0.9433333277702332
0.007445835042744875,0.9783333539962769,0.008811303414404392,0.95333331823349
0.0027770421002060175,0.9900000095367432,0.003447798080742359,0.9833333492279053
0.0009313754271715879,0.9983333349227905,0.0012402869760990143,0.9983333349227905
0.0005314174341037869,1.0,0.0005801355582661927,1.0
0.0003481998573988676,1.0,0.00042572314850986004,1.0
0.000270102231297642,1.0,0.0003245902480557561,1.0
0.00022416998399421573,1.0,0.0002662001352291554,1.0
0.00018247087427880615,1.0,0.0002140799624612555,1.0
0.00015447752957697958,1.0,0.00018666971300262958,1.0
0.00013787567149847746,1.0,0.00016194290947169065,1.0
0.0001226320891873911,1.0,0.00014199673023540527,1.0
0.00010853097046492621,1.0,0.0001257260300917551,1.0
9.898882854031399e-05,1.0,0.00011385336256353185,1.0
9.155839507002383e-05,1.0,0.00010471524001332,1.0
8.591388905188069e-05,1.0,9.779717220226303e-05,1.0
8.110465569188818e-05,1.0,9.208004485117272e-05,1.0
7.710003410466015e-05,1.0,8.706634253030643e-05,1.0
7.380777242360637e-05,1.0,8.324581722263247e-05,1.0
7.185214781202376e-05,1.0,8.038047963054851e-05,1.0
6.931125972187147e-05,1.0,7.791988900862634e-05,1.0
6.744237907696515e-05,1.0,7.56253648432903e-05,1.0
6.62979218759574e-05,1.0,7.385094068013132e-05,1.0
6.509548984467983e-05,1.0,7.184708374552429e-05,1.0
6.312125333352014e-05,1.0,7.06023201928474e-05,1.0
6.157673487905413e-05,1.0,6.886808114359155e-05,1.0
6.0931139159947634e-05,1.0,6.766452133888379e-05,1.0
5.953111394774169e-05,1.0,6.687559653073549e-05,1.0
5.905206489842385e-05,1.0,6.589401164092124e-05,1.0
5.763379158452153e-05,1.0,6.460019358200952e-05,1.0
5.7156568800564855e-05,1.0,6.39081554254517e-05,1.0
5.646067438647151e-05,1.0,6.320499232970178e-05,1.0
5.5870455980766565e-05,1.0,6.218648195499554e-05,1.0
5.521670027519576e-05,1.0,6.130144174676389e-05,1.0
5.489827526616864e-05,1.0,6.130855763331056e-05,1.0
5.424930350272916e-05,1.0,6.054210098227486e-05,1.0
5.4343479860108346e-05,1.0,6.01692809141241e-05,1.0
5.34161226823926e-05,1.0,5.959017653367482e-05,1.0
5.330296335159801e-05,1.0,5.924194920226e-05,1.0
5.281468838802539e-05,1.0,5.885940117877908e-05,1.0
5.2601062634494156e-05,1.0,5.8432724472368136e-05,1.0
5.227280780673027e-05,1.0,5.791323201265186e-05,1.0
5.190918091102503e-05,1.0,5.7917666708817706e-05,1.0
5.200408122618683e-05,1.0,5.754188168793917e-05,1.0
5.117296677781269e-05,1.0,5.7145072787534446e-05,1.0
5.119989509694278e-05,1.0,5.6943928939290345e-05,1.0
5.084199437987991e-05,1.0,5.6830558605724946e-05,1.0
5.121849608258344e-05,1.0,5.680115282302722e-05,1.0
5.121898357174359e-05,1.0,5.620239971904084e-05,1.0
5.0733404350467026e-05,1.0,5.6087574193952605e-05,1.0
5.016500290366821e-05,1.0,5.615121335722506e-05,1.0
4.998900476493873e-05,1.0,5.566398976952769e-05,1.0
5.02938601130154e-05,1.0,5.5507545766886324e-05,1.0
5.031793625676073e-05,1.0,5.557235999731347e-05,1.0
4.991993773728609e-05,1.0,5.526663881028071e-05,1.0
4.9995273002423346e-05,1.0,5.5704898841213435e-05,1.0
4.9720765673555434e-05,1.0,5.511484414455481e-05,1.0
4.967256245436147e-05,1.0,5.543677616515197e-05,1.0
4.9886872147908434e-05,1.0,5.509444235940464e-05,1.0
4.985455598216504e-05,1.0,5.470164251164533e-05,1.0
4.926373730995692e-05,1.0,5.4508225730387494e-05,1.0
4.9893089453689754e-05,1.0,5.476400110637769e-05,1.0
4.960318983648904e-05,1.0,5.478944149217568e-05,1.0
4.9576923629501835e-05,1.0,5.49065152881667e-05,1.0
4.9861679144669324e-05,1.0,5.450091703096405e-05,1.0
4.9242968088947237e-05,1.0,5.4506723245140165e-05,1.0
